Date,Open,High,Low,Close,Volume,Adj Close
2016-07-20,11.15,11.49,11.02,11.13,33143300,11.13
2016-07-19,10.68,11.31,10.51,11.13,25848900,11.13
2016-07-18,10.78,10.89,10.42,10.57,16231500,10.57
2016-07-15,11.03,11.07,10.73,10.75,24049100,10.75
2016-07-14,10.62,11.04,10.50,11.01,29704200,11.01
2016-07-13,10.35,10.88,10.34,10.62,32619900,10.62
2016-07-12,10.29,10.31,9.93,10.20,20372200,10.20
2016-07-11,10.67,10.71,10.07,10.23,22606800,10.23
2016-07-08,10.49,10.89,10.37,10.60,24826100,10.55
2016-07-07,10.65,10.65,10.25,10.45,17349300,10.40071
2016-07-06,10.53,10.64,10.35,10.58,15809300,10.53009
2016-07-05,10.60,10.73,10.37,10.54,23257000,10.49028
2016-07-04,10.26,10.70,10.18,10.52,30116400,10.47038
2016-07-01,10.50,10.63,10.30,10.30,27729100,10.25142
2016-06-30,10.54,10.95,10.31,10.64,45472100,10.58981
2016-06-29,10.67,11.09,10.41,10.55,43230100,10.50024
2016-06-28,10.07,10.87,9.96,10.52,70180700,10.47038
2016-06-27,9.79,10.17,9.64,10.08,65010900,10.03245
2016-06-24,9.70,10.33,9.60,10.10,78029900,10.05236
2016-06-23,9.51,9.88,9.40,9.54,30065500,9.495
2016-06-22,9.00,9.80,9.00,9.60,36992500,9.55472
2016-06-21,9.12,9.44,9.00,9.06,23594200,9.01726
2016-06-20,9.00,9.20,8.82,9.11,16699200,9.06703
2016-06-17,9.02,9.24,8.86,9.01,27679900,8.9675
2016-06-16,9.25,9.25,8.92,9.00,17407900,8.95755
2016-06-15,8.92,9.38,8.81,9.25,22766400,9.20637
2016-06-14,8.81,9.07,8.64,9.05,16809800,9.00731
2016-06-13,9.11,9.47,8.73,8.75,22204300,8.70873
2016-06-10,9.27,9.27,9.27,9.27,000,9.22627
2016-06-09,9.27,9.27,9.27,9.27,000,9.22627
2016-06-08,9.48,9.48,9.12,9.27,22998200,9.22627
2016-06-07,8.86,9.50,8.86,9.48,35453800,9.43528
2016-06-06,8.80,9.11,8.68,8.95,23042500,8.90778
2016-06-03,8.75,8.94,8.72,8.83,17058000,8.78835
2016-06-02,8.71,8.87,8.64,8.79,19973000,8.74854
2016-06-01,8.78,8.79,8.63,8.69,19671300,8.64901
2016-05-31,8.47,8.81,8.42,8.78,30061300,8.73858
2016-05-30,8.07,8.56,8.00,8.52,34525700,8.47981
2016-05-27,8.03,8.13,7.97,8.07,12385400,8.03193
2016-05-26,7.94,8.07,7.83,8.05,10677800,8.01203
2016-05-25,8.03,8.16,7.97,7.98,13506600,7.94236
2016-05-24,7.99,8.09,7.91,7.96,8558000,7.92245
2016-05-23,8.05,8.11,8.00,8.04,12353500,8.00208
2016-05-20,7.83,7.98,7.79,7.97,9632100,7.93241
2016-05-19,7.89,8.08,7.86,7.90,13531500,7.86274
2016-05-18,8.03,8.09,7.75,7.86,14641900,7.82292
2016-05-17,8.04,8.25,7.93,8.14,14575200,8.1016
2016-05-16,7.94,8.08,7.82,8.07,11050000,8.03193
2016-05-13,8.08,8.15,7.90,7.93,11149300,7.89259
2016-05-12,7.90,8.00,7.74,8.00,11139800,7.96226
2016-05-11,8.13,8.19,7.99,8.00,13153500,7.96226
2016-05-10,8.08,8.19,7.95,8.04,10927000,8.00208
2016-05-09,8.44,8.44,8.01,8.05,19089600,8.01203
2016-05-06,8.85,8.95,8.44,8.44,23308300,8.40019
2016-05-05,8.78,8.84,8.70,8.84,15323600,8.7983
2016-05-04,8.82,8.85,8.70,8.75,16536800,8.70873
2016-05-03,8.55,8.89,8.45,8.82,20376000,8.7784
2016-05-02,8.52,8.52,8.52,8.52,000,8.47981
2016-04-29,8.59,8.68,8.51,8.52,10393800,8.47981
2016-04-28,8.68,8.75,8.44,8.63,13909200,8.58929
2016-04-27,8.79,8.85,8.65,8.67,13616400,8.6291
2016-04-26,8.64,8.81,8.57,8.79,13324400,8.74854
2016-04-25,8.72,8.72,8.45,8.64,14077600,8.59925
2016-04-22,8.65,8.76,8.55,8.75,14047400,8.70873
2016-04-21,8.88,8.96,8.62,8.62,23805400,8.57934
2016-04-20,9.44,9.44,8.64,8.80,40039000,8.75849
2016-04-19,9.33,9.45,9.08,9.45,39913000,9.40542
2016-04-18,9.63,9.63,9.11,9.27,44553400,9.22627
2016-04-15,9.68,9.82,9.57,9.65,54821500,9.60448
2016-04-14,9.16,10.04,9.14,9.85,101653300,9.80354
2016-04-13,9.06,9.30,9.02,9.13,39649300,9.08693
2016-04-12,9.08,9.11,8.84,9.00,21165400,8.95755
2016-04-11,8.86,9.19,8.86,9.09,29324000,9.04712
2016-04-08,8.78,8.87,8.65,8.81,21490500,8.76844
2016-04-07,9.22,9.23,8.86,8.87,35338700,8.82816
2016-04-06,9.04,9.35,9.04,9.20,34373500,9.1566
2016-04-05,8.66,9.12,8.62,9.10,31049200,9.05708
2016-04-04,8.68,8.68,8.68,8.68,000,8.63906
2016-04-01,8.75,8.80,8.50,8.68,19990700,8.63906
2016-03-31,8.89,9.00,8.80,8.82,24708800,8.7784
2016-03-30,8.58,8.92,8.53,8.88,24763800,8.83811
2016-03-29,8.73,8.75,8.38,8.47,21511900,8.43005
2016-03-28,8.92,9.06,8.67,8.69,23486800,8.64901
2016-03-25,8.81,8.92,8.72,8.90,19565200,8.85802
2016-03-24,9.04,9.09,8.80,8.80,28867100,8.75849
2016-03-23,9.01,9.21,8.96,9.17,28561400,9.12675
2016-03-22,8.96,9.48,8.87,9.11,38079500,9.06703
2016-03-21,8.96,9.10,8.79,9.06,35312700,9.01726
2016-03-18,8.49,8.95,8.40,8.79,38165700,8.74854
2016-03-17,8.11,8.52,8.05,8.44,33524500,8.40019
2016-03-16,8.22,8.25,7.95,8.02,15624900,7.98217
2016-03-15,8.22,8.28,8.02,8.08,20299800,8.04189
2016-03-14,7.96,8.45,7.96,8.25,27850200,8.21108
2016-03-11,7.82,7.97,7.73,7.86,12025100,7.82292
2016-03-10,8.04,8.13,7.80,7.85,15915900,7.81297
2016-03-09,8.08,8.36,7.96,8.04,19884300,8.00208
2016-03-08,8.03,8.25,7.61,8.25,25148600,8.21108
2016-03-07,7.93,8.25,7.91,8.08,18391200,8.04189
2016-03-04,8.18,8.22,7.68,7.82,23139100,7.78311
2016-03-03,8.13,8.47,8.12,8.22,25260100,8.18123
2016-03-02,7.77,8.28,7.73,8.23,26388200,8.19118
2016-03-01,7.61,7.93,7.45,7.75,24750000,7.71344
2016-02-29,8.25,8.26,7.42,7.55,23879500,7.51439
2016-02-26,8.55,8.60,8.12,8.24,19410400,8.20113
2016-02-25,9.30,9.35,8.42,8.42,25663800,8.38028
2016-02-24,9.30,9.44,9.05,9.36,16757300,9.31585
2016-02-23,9.59,9.64,9.23,9.36,15795300,9.31585
2016-02-22,9.53,9.64,9.45,9.59,19717100,9.54476
2016-02-19,9.35,9.51,9.23,9.44,15903600,9.39547
2016-02-18,9.65,9.67,9.35,9.35,18670400,9.3059
2016-02-17,9.29,9.47,9.20,9.41,17011800,9.36561
2016-02-16,9.02,9.40,9.00,9.36,17982500,9.31585
2016-02-15,8.62,9.01,8.58,8.93,10231700,8.88788
2016-02-12,8.90,8.90,8.90,8.90,000,8.85802
2016-02-11,8.90,8.90,8.90,8.90,000,8.85802
2016-02-10,8.90,8.90,8.90,8.90,000,8.85802
2016-02-09,8.90,8.90,8.90,8.90,000,8.85802
2016-02-08,8.90,8.90,8.90,8.90,000,8.85802
2016-02-05,9.11,9.19,8.89,8.90,11269100,8.85802
2016-02-04,8.96,9.27,8.96,9.08,14180300,9.03717
2016-02-03,8.84,9.05,8.68,8.98,13950500,8.93764
2016-02-02,8.60,9.03,8.53,8.95,16380600,8.90778
2016-02-01,8.67,8.67,8.35,8.51,12742600,8.46986
2016-01-29,8.25,8.78,8.25,8.69,15621700,8.64901
2016-01-28,8.80,8.96,8.21,8.29,13626100,8.2509
2016-01-27,9.00,9.08,8.25,8.84,21496500,8.7983
2016-01-26,9.65,9.67,8.81,8.93,20682000,8.88788
2016-01-25,9.83,9.93,9.66,9.78,15558800,9.73387
2016-01-22,9.63,9.85,9.31,9.72,15058900,9.67415
2016-01-21,9.51,9.99,9.46,9.46,22096400,9.41538
2016-01-20,9.80,9.96,9.65,9.70,19948500,9.65424
2016-01-19,9.59,9.97,9.46,9.92,24268200,9.87321
2016-01-18,9.16,9.84,9.15,9.64,19554300,9.59453
2016-01-15,9.80,9.97,9.24,9.37,23489500,9.3258
2016-01-14,9.00,9.94,8.91,9.91,27123400,9.86325
2016-01-13,9.85,10.06,9.31,9.36,24727100,9.31585
2016-01-12,9.65,9.98,9.43,9.79,22581900,9.74382
2016-01-11,10.39,10.65,9.59,9.59,31935000,9.54476
2016-01-08,10.97,11.16,10.01,10.65,27664700,10.59976
2016-01-07,11.50,11.60,10.65,10.66,7651300,10.60972
2016-01-06,11.63,11.93,11.35,11.83,23607100,11.7742
2016-01-05,11.30,12.03,10.96,11.63,39574500,11.57514
2016-01-04,13.20,13.37,11.79,11.81,29126700,11.75429
2016-01-01,13.10,13.10,13.10,13.10,000,13.03821
2015-12-31,13.50,13.58,13.10,13.10,26263900,13.03821
2015-12-30,13.62,13.83,13.42,13.54,31119800,13.47613
2015-12-29,13.15,13.56,13.05,13.52,28002200,13.45623
2015-12-28,13.95,14.10,13.20,13.25,46095000,13.1875
2015-12-25,13.80,14.37,13.51,13.90,74966000,13.83443
2015-12-24,13.11,13.75,13.11,13.66,52096300,13.59557
2015-12-23,13.63,13.63,13.00,13.07,42579600,13.00835
2015-12-22,13.60,13.75,13.39,13.62,42245100,13.55575
2015-12-21,13.80,13.90,13.26,13.61,50209800,13.5458
2015-12-18,13.80,13.98,13.40,13.68,75203500,13.61547
2015-12-17,12.60,13.75,12.51,13.75,104042000,13.68514
2015-12-16,12.47,12.63,12.30,12.50,25686300,12.44104
2015-12-15,12.40,12.62,12.30,12.37,25843000,12.31165
2015-12-14,11.99,12.40,11.91,12.39,19086300,12.33156
2015-12-11,12.04,12.20,11.97,12.08,15133100,12.02302
2015-12-10,12.01,12.29,11.96,12.05,20191200,11.99316
2015-12-09,12.20,12.29,12.03,12.10,26785200,12.04292
2015-12-08,12.36,12.85,12.00,12.44,39440000,12.38132
2015-12-07,12.34,12.55,12.25,12.46,19523700,12.40123
2015-12-04,12.50,12.64,12.19,12.29,26369900,12.23203
2015-12-03,12.27,12.60,12.20,12.57,27843600,12.51071
2015-12-02,12.33,12.45,11.62,12.16,23238700,12.10264
2015-12-01,12.10,12.50,12.04,12.33,26632400,12.27184
2015-11-30,12.40,12.64,11.38,12.24,38585200,12.18226
2015-11-27,13.54,13.56,12.27,12.40,57050300,12.34151
2015-11-26,14.16,14.22,13.57,13.63,58590500,13.56571
2015-11-25,13.80,14.25,13.72,14.15,42225100,14.08325
2015-11-24,13.66,13.95,13.40,13.92,33812400,13.85434
2015-11-23,14.32,14.33,13.67,13.74,66607600,13.67519
2015-11-20,13.65,14.68,13.60,14.41,105512600,14.34203
2015-11-19,13.27,13.70,13.20,13.62,31462200,13.55575
2015-11-18,13.49,13.65,13.10,13.19,27876200,13.12778
2015-11-17,13.55,13.85,13.41,13.50,44281400,13.43632
2015-11-16,12.80,13.48,12.74,13.46,30506000,13.39651
2015-11-13,13.50,13.57,13.02,13.09,36061800,13.02825
2015-11-12,14.19,14.26,13.55,13.75,58038800,13.68514
2015-11-11,13.45,14.19,13.40,14.12,62772500,14.0534
2015-11-10,13.68,13.99,13.28,13.59,54675900,13.5259
2015-11-09,13.58,13.96,13.15,13.58,52215000,13.51594
2015-11-06,13.22,13.66,13.21,13.48,58162300,13.41641
2015-11-05,12.97,13.50,12.73,13.17,73487000,13.10788
2015-11-04,12.10,12.92,12.10,12.88,40835800,12.81925
2015-11-03,12.06,12.28,11.90,12.07,16472700,12.01307
2015-11-02,11.90,12.65,11.85,12.01,27209600,11.95335
2015-10-30,12.45,13.06,12.11,12.55,38860300,12.4908
2015-10-29,12.48,12.76,12.17,12.50,26099100,12.44104
2015-10-28,12.90,13.06,12.25,12.37,34743700,12.31165
2015-10-27,12.75,12.98,12.00,12.92,40619800,12.85906
2015-10-26,12.90,12.98,12.37,12.85,45585600,12.78939
2015-10-23,12.29,12.84,12.13,12.70,41381900,12.64009
2015-10-22,11.73,12.33,11.66,12.18,33242600,12.12255
2015-10-21,13.05,13.19,11.69,11.69,51464200,11.63486
2015-10-20,12.36,13.00,12.27,12.99,41573600,12.92873
2015-10-19,12.68,13.10,12.18,12.40,41082800,12.34151
2015-10-16,12.50,12.68,12.25,12.67,47910200,12.61024
2015-10-15,11.63,12.54,11.63,12.50,42975900,12.44104
2015-10-14,12.18,12.32,11.81,11.84,28800800,11.78415
2015-10-13,12.01,12.42,11.88,12.24,38498400,12.18226
2015-10-12,11.70,12.35,11.50,12.16,43692200,12.10264
