Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,11.03,11.07,10.73,10.75,24049100,10.75
2016-07-14,10.62,11.04,10.50,11.01,29704200,11.01
2016-07-13,10.35,10.88,10.34,10.62,32619900,10.62
2016-07-12,10.29,10.31,9.93,10.20,20372200,10.20
2016-07-11,10.67,10.71,10.07,10.23,22606800,10.23
2016-07-08,10.49,10.89,10.37,10.60,24826100,10.55
2016-07-07,10.65,10.65,10.25,10.45,17349300,10.40071
2016-07-06,10.53,10.64,10.35,10.58,15809300,10.53009
2016-07-05,10.60,10.73,10.37,10.54,23257000,10.49028
2016-07-04,10.26,10.70,10.18,10.52,30116400,10.47038
2016-07-01,10.50,10.63,10.30,10.30,27729100,10.25142
2016-06-30,10.54,10.95,10.31,10.64,45472100,10.58981
2016-06-29,10.67,11.09,10.41,10.55,43230100,10.50024
2016-06-28,10.07,10.87,9.96,10.52,70180700,10.47038
2016-06-27,9.79,10.17,9.64,10.08,65010900,10.03245
2016-06-24,9.70,10.33,9.60,10.10,78029900,10.05236
2016-06-23,9.51,9.88,9.40,9.54,30065500,9.495
2016-06-22,9.00,9.80,9.00,9.60,36992500,9.55472
2016-06-21,9.12,9.44,9.00,9.06,23594200,9.01726
2016-06-20,9.00,9.20,8.82,9.11,16699200,9.06703
2016-06-17,9.02,9.24,8.86,9.01,27679900,8.9675
